Network_Name,N,K,P,Diameter,Clustering_Coefficient,Degree_Distribution
Network_0,25,4,0,6,0.5,4:25
Network_0.1,25,4,0.1,5,0.39333333333333337,"3:4, 4:17, 5:4"
Network_1,25,4,1,4,0.055999999999999994,"2:4, 3:4, 4:9, 5:5, 6:2, 7:1"
Network_0,25,5,0,6,0.5,4:25
Network_0.1,25,5,0.1,5,0.31866666666666665,"3:7, 4:11, 5:7"
Network_1,25,5,1,4,0.13742857142857143,"2:3, 3:7, 4:8, 5:3, 6:3, 8:1"
Network_0,25,10,0,3,0.6666666666666664,10:25
Network_0.1,25,10,0.1,3,0.5475930735930735,"8:1, 9:6, 10:12, 11:4, 12:2"
Network_1,25,10,1,3,0.3789173049173049,"6:1, 8:3, 9:9, 10:2, 11:3, 12:5, 13:2"
Network_0,50,4,0,13,0.5,4:50
Network_0.1,50,4,0.1,7,0.3813333333333333,"3:8, 4:34, 5:8"
Network_1,50,4,1,5,0.028047619047619047,"2:8, 3:9, 4:16, 5:12, 6:3, 7:1, 8:1"
Network_0,50,5,0,13,0.5,4:50
Network_0.1,50,5,0.1,7,0.2793333333333333,"3:12, 4:29, 5:6, 6:3"
Network_1,50,5,1,5,0.05790476190476191,"2:11, 3:9, 4:13, 5:9, 6:3, 7:4, 8:1"
Network_0,50,10,0,5,0.666666666666667,10:50
Network_0.1,50,10,0.1,4,0.5570086580086582,"8:2, 9:9, 10:28, 11:9, 12:2"
Network_1,50,10,1,3,0.17910556110556114,"7:7, 8:7, 9:8, 10:7, 11:9, 12:6, 13:4, 14:1, 16:1"
Network_0,100,4,0,25,0.5,4:100
Network_0.1,100,4,0.1,11,0.36900000000000027,"2:2, 3:14, 4:69, 5:12, 6:3"
Network_1,100,4,1,6,0.02576190476190476,"2:16, 3:26, 4:26, 5:15, 6:9, 7:7, 8:1"
Network_0,100,5,0,25,0.5,4:100
Network_0.1,100,5,0.1,10,0.3773333333333333,"2:1, 3:13, 4:72, 5:13, 6:1"
Network_1,100,5,1,6,0.0371904761904762,"2:17, 3:27, 4:20, 5:20, 6:9, 7:5, 8:2"
Network_0,100,10,0,10,0.6666666666666659,10:100
Network_0.1,100,10,0.1,5,0.4842925962925962,"7:2, 8:2, 9:22, 10:49, 11:19, 12:5, 13:1"
Network_1,100,10,1,4,0.09877816627816623,"5:1, 6:3, 7:8, 8:15, 9:17, 10:18, 11:12, 12:12, 13:8, 14:2, 15:4"
Network_0,150,4,0,38,0.5,4:150
Network_0.1,150,4,0.1,14,0.38622222222222236,"2:1, 3:22, 4:104, 5:22, 6:1"
Network_1,150,4,1,6,0.02290476190476191,"2:26, 3:39, 4:32, 5:27, 6:18, 7:4, 8:4"
Network_0,150,5,0,38,0.5,4:150
Network_0.1,150,5,0.1,12,0.3906666666666667,"2:2, 3:22, 4:103, 5:20, 6:3"
Network_1,150,5,1,7,0.012888888888888892,"2:24, 3:34, 4:42, 5:29, 6:12, 7:7, 8:2"
Network_0,150,10,0,15,0.6666666666666677,10:150
Network_0.1,150,10,0.1,5,0.5061531431531431,"7:1, 8:9, 9:27, 10:77, 11:27, 12:6, 13:3"
Network_1,150,10,1,4,0.06050355853297025,"5:1, 6:5, 7:16, 8:19, 9:27, 10:19, 11:29, 12:12, 13:12, 14:4, 15:4, 16:1, 17:1"
